url1,url2,similarity
https://guardiandigital.com/resources/blog/guide-on-phishing,https://inspiredelearning.com/blog/phishing-protection-checklist/,0.8023
https://en.wikipedia.org/wiki/SD-WAN,https://www.cisco.com/site/us/en/learn/topics/networking/what-is-sd-wan.html,0.857
https://www.efax.com/,https://sign.dropbox.com/products/dropbox-fax,0.9048
https://www.efax.com/,https://www.fax.plus/,0.9225
https://www.efax.com/,https://comfax.com/reviews/free-fax/,0.8368
https://sign.dropbox.com/products/dropbox-fax,https://www.fax.plus/,0.9058
https://sign.dropbox.com/products/dropbox-fax,https://comfax.com/reviews/free-fax/,0.8757
https://www.fax.plus/,https://comfax.com/reviews/free-fax/,0.8421
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://copyblogger.com/content-marketing/,0.891
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.8945
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://www.coursera.org/articles/content-strategy,0.8761
https://nytlicensing.com/latest/trends/content-marketing-best-practices-2022/,https://mailchimp.com/marketing-glossary/content-marketing/,0.8923
https://copyblogger.com/content-marketing/,https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,0.8838
https://copyblogger.com/content-marketing/,https://mailchimp.com/marketing-glossary/content-marketing/,0.8965
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://www.coursera.org/articles/content-strategy,0.8355
https://www.twilio.com/en-us/blog/insights/content-marketing-best-practices,https://mailchimp.com/marketing-glossary/content-marketing/,0.8722
https://emotive.io/blog/11-essential-digital-marketing-tips,https://www.forbes.com/advisor/business/what-is-digital-marketing/,0.8505
https://www.forbes.com/advisor/business/what-is-digital-marketing/,https://en.wikipedia.org/wiki/Digital_marketing,0.8445
